,set_size,trial_num,method_num,space
522,1000.0,4.0,2.0,16765.25
523,1000.0,4.0,3.0,25921.5
524,1000.0,4.0,4.0,25706.65625
525,1000,5,0,32000
526,1000,5,1,17000
527,1000.0,5.0,2.0,16511.0
528,1000.0,5.0,3.0,25618.0
529,1000.0,5.0,4.0,25446.125
530,1000,6,0,32000
531,1000,6,1,20000
532,1000.0,6.0,2.0,16750.25
533,1000.0,6.0,3.0,25879.5
534,1000.0,6.0,4.0,25664.65625
535,1000,7,0,32000
536,1000,7,1,21000
537,1000.0,7.0,2.0,16597.25
538,1000.0,7.0,3.0,25744.5
539,1000.0,7.0,4.0,25529.65625
540,1000,8,0,32000
541,1000,8,1,18000
542,1000.0,8.0,2.0,16552.25
543,1000.0,8.0,3.0,25690.5
544,1000.0,8.0,4.0,25475.65625
545,1000,9,0,32000
546,1000,9,1,19000
547,1000.0,9.0,2.0,16804.25
548,1000.0,9.0,3.0,25942.5
549,1000.0,9.0,4.0,25727.65625
550,1000,10,0,32000
551,1000,10,1,19000
552,1000.0,10.0,2.0,16640.25
553,1000.0,10.0,3.0,25778.5
554,1000.0,10.0,4.0,25563.65625
555,1000,11,0,32000
556,1000,11,1,19000
557,1000.0,11.0,2.0,16763.25
558,1000.0,11.0,3.0,25919.5
559,1000.0,11.0,4.0,25704.65625
560,1000,12,0,32000
561,1000,12,1,18000
562,1000.0,12.0,2.0,16565.0
563,1000.0,12.0,3.0,25681.0
564,1000.0,12.0,4.0,25509.125
565,1000,13,0,32000
566,1000,13,1,18000
567,1000.0,13.0,2.0,16720.25
568,1000.0,13.0,3.0,25876.5
569,1000.0,13.0,4.0,25661.65625
570,1000,14,0,32000
571,1000,14,1,18000
572,1000.0,14.0,2.0,16521.0
573,1000.0,14.0,3.0,25637.0
574,1000.0,14.0,4.0,25465.125
575,1000,15,0,32000
576,1000,15,1,20000
577,1000.0,15.0,2.0,16734.25
578,1000.0,15.0,3.0,25890.5
579,1000.0,15.0,4.0,25675.65625
580,1000,16,0,32000
581,1000,16,1,18000
582,1000.0,16.0,2.0,16783.25
583,1000.0,16.0,3.0,25939.5
584,1000.0,16.0,4.0,25724.65625
585,1000,17,0,32000
586,1000,17,1,19000
587,1000.0,17.0,2.0,16723.25
588,1000.0,17.0,3.0,25870.5
589,1000.0,17.0,4.0,25655.65625
590,1000,18,0,32000
591,1000,18,1,19000
592,1000.0,18.0,2.0,16658.25
593,1000.0,18.0,3.0,25814.5
594,1000.0,18.0,4.0,25599.65625
595,1000,19,0,32000
596,1000,19,1,20000
597,1000.0,19.0,2.0,16666.25
598,1000.0,19.0,3.0,25822.5
599,1000.0,19.0,4.0,25607.65625
600,1000,20,0,32000
601,1000,20,1,17000
602,1000.0,20.0,2.0,16526.0
603,1000.0,20.0,3.0,25642.0
604,1000.0,20.0,4.0,25470.125
605,1000,21,0,32000
606,1000,21,1,18000
607,1000.0,21.0,2.0,16540.0
608,1000.0,21.0,3.0,25656.0
609,1000.0,21.0,4.0,25484.125
610,1000,22,0,32000
611,1000,22,1,19000
612,1000.0,22.0,2.0,16667.0
613,1000.0,22.0,3.0,25774.0
614,1000.0,22.0,4.0,25602.125
615,1000,23,0,32000
616,1000,23,1,19000
617,1000.0,23.0,2.0,16512.25
618,1000.0,23.0,3.0,25668.5
619,1000.0,23.0,4.0,25453.65625
620,1000,24,0,32000
621,1000,24,1,20000
622,1000.0,24.0,2.0,16671.25
623,1000.0,24.0,3.0,25818.5
624,1000.0,24.0,4.0,25603.65625
625,1000,25,0,32000
626,1000,25,1,21000
627,1000.0,25.0,2.0,16623.5
628,1000.0,25.0,3.0,25775.0
629,1000.0,25.0,4.0,25517.1875
630,1000,26,0,32000
631,1000,26,1,19000
632,1000.0,26.0,2.0,16690.25
633,1000.0,26.0,3.0,25837.5
634,1000.0,26.0,4.0,25622.65625
635,1000,27,0,32000
636,1000,27,1,20000
637,1000.0,27.0,2.0,16622.25
638,1000.0,27.0,3.0,25769.5
639,1000.0,27.0,4.0,25554.65625
