,set_size,trial_num,method_num,space
635,100.0,105.0,5.0,2561.203125
636,100,106,0,3200
637,100,106,1,2800
638,100,106,2,1500
639,100.0,106.0,3.0,1643.375
640,100.0,106.0,4.0,2552.75
641,100.0,106.0,5.0,2538.1015625
642,100,107,0,3200
643,100,107,1,2800
644,100,107,2,1800
645,100.0,107.0,3.0,1628.75
646,100.0,107.0,4.0,2547.5
647,100.0,107.0,5.0,2518.203125
648,100,108,0,3200
649,100,108,1,2800
650,100,108,2,1800
651,100.0,108.0,3.0,1712.625
652,100.0,108.0,4.0,2628.25
653,100.0,108.0,5.0,2603.8359375
654,100,109,0,3200
655,100,109,1,2800
656,100,109,2,1900
657,100.0,109.0,3.0,1676.75
658,100.0,109.0,4.0,2595.5
659,100.0,109.0,5.0,2566.203125
660,100,110,0,3200
661,100,110,1,2800
662,100,110,2,1600
663,100.0,110.0,3.0,1666.5
664,100.0,110.0,4.0,2579.0
665,100.0,110.0,5.0,2559.46875
666,100,111,0,3200
667,100,111,1,2800
668,100,111,2,1700
669,100.0,111.0,3.0,1648.5
670,100.0,111.0,4.0,2561.0
671,100.0,111.0,5.0,2541.46875
672,100,112,0,3200
673,100,112,1,2800
674,100,112,2,1800
675,100.0,112.0,3.0,1714.625
676,100.0,112.0,4.0,2630.25
677,100.0,112.0,5.0,2605.8359375
678,100,113,0,3200
679,100,113,1,2800
680,100,113,2,1900
681,100.0,113.0,3.0,1695.75
682,100.0,113.0,4.0,2605.5
683,100.0,113.0,5.0,2576.203125
684,100,114,0,3200
685,100,114,1,2800
686,100,114,2,1400
687,100.0,114.0,3.0,1638.375
688,100.0,114.0,4.0,2547.75
689,100.0,114.0,5.0,2533.1015625
690,100,115,0,3200
691,100,115,1,2800
692,100,115,2,1800
693,100.0,115.0,3.0,1684.75
694,100.0,115.0,4.0,2603.5
695,100.0,115.0,5.0,2574.203125
696,100,116,0,3200
697,100,116,1,2800
698,100,116,2,1600
699,100.0,116.0,3.0,1651.375
700,100.0,116.0,4.0,2560.75
701,100.0,116.0,5.0,2546.1015625
702,100,117,0,3200
703,100,117,1,2800
704,100,117,2,1800
705,100.0,117.0,3.0,1728.75
706,100.0,117.0,4.0,2647.5
707,100.0,117.0,5.0,2618.203125
708,100,118,0,3200
709,100,118,1,2800
710,100,118,2,1700
711,100.0,118.0,3.0,1662.625
712,100.0,118.0,4.0,2569.25
713,100.0,118.0,5.0,2544.8359375
714,100,119,0,3200
715,100,119,1,2800
716,100,119,2,1700
717,100.0,119.0,3.0,1678.625
718,100.0,119.0,4.0,2594.25
719,100.0,119.0,5.0,2569.8359375
720,100,120,0,3200
721,100,120,1,2800
722,100,120,2,1600
723,100.0,120.0,3.0,1696.625
724,100.0,120.0,4.0,2612.25
725,100.0,120.0,5.0,2587.8359375
726,100,121,0,3200
727,100,121,1,2800
728,100,121,2,1800
729,100.0,121.0,3.0,1691.75
730,100.0,121.0,4.0,2610.5
731,100.0,121.0,5.0,2581.203125
732,100,122,0,3200
733,100,122,1,2800
734,100,122,2,1800
735,100.0,122.0,3.0,1684.75
736,100.0,122.0,4.0,2603.5
737,100.0,122.0,5.0,2574.203125
738,100,123,0,3200
739,100,123,1,2800
740,100,123,2,1800
741,100.0,123.0,3.0,1636.625
742,100.0,123.0,4.0,2552.25
743,100.0,123.0,5.0,2527.8359375
744,100,124,0,3200
745,100,124,1,2800
746,100,124,2,1500
747,100.0,124.0,3.0,1650.375
748,100.0,124.0,4.0,2559.75
749,100.0,124.0,5.0,2545.1015625
750,100,125,0,3200
751,100,125,1,2800
752,100,125,2,1600
753,100.0,125.0,3.0,1640.375
754,100.0,125.0,4.0,2549.75
755,100.0,125.0,5.0,2535.1015625
756,100,126,0,3200
757,100,126,1,2800
758,100,126,2,1700
759,100.0,126.0,3.0,1680.75
760,100.0,126.0,4.0,2590.5
761,100.0,126.0,5.0,2561.203125
762,100,127,0,3200
763,100,127,1,2800
764,100,127,2,2000
765,100.0,127.0,3.0,1646.75
766,100.0,127.0,4.0,2565.5
767,100.0,127.0,5.0,2536.203125
768,100,128,0,3200
769,100,128,1,2800
770,100,128,2,2000
771,100.0,128.0,3.0,1708.75
772,100.0,128.0,4.0,2627.5
773,100.0,128.0,5.0,2598.203125
774,100,129,0,3200
775,100,129,1,2800
776,100,129,2,1600
777,100.0,129.0,3.0,1693.625
778,100.0,129.0,4.0,2609.25
779,100.0,129.0,5.0,2584.8359375
780,100,130,0,3200
781,100,130,1,2800
782,100,130,2,1700
783,100.0,130.0,3.0,1657.625
784,100.0,130.0,4.0,2573.25
785,100.0,130.0,5.0,2548.8359375
786,100,131,0,3200
787,100,131,1,2800
788,100,131,2,1700
789,100.0,131.0,3.0,1626.5
790,100.0,131.0,4.0,2539.0
791,100.0,131.0,5.0,2519.46875
792,100,132,0,3200
793,100,132,1,2800
794,100,132,2,1500
795,100.0,132.0,3.0,1615.375
796,100.0,132.0,4.0,2524.75
797,100.0,132.0,5.0,2510.1015625
798,100,133,0,3200
799,100,133,1,2800
800,100,133,2,1500
801,100.0,133.0,3.0,1666.5
802,100.0,133.0,4.0,2579.0
803,100.0,133.0,5.0,2559.46875
804,100,134,0,3200
805,100,134,1,2800
806,100,134,2,1800
807,100.0,134.0,3.0,1699.625
808,100.0,134.0,4.0,2615.25
809,100.0,134.0,5.0,2590.8359375
810,100,135,0,3200
811,100,135,1,2800
812,100,135,2,2000
813,100.0,135.0,3.0,1662.875
814,100.0,135.0,4.0,2584.75
815,100.0,135.0,5.0,2550.5703125
816,100,136,0,3200
817,100,136,1,2800
818,100,136,2,1700
819,100.0,136.0,3.0,1694.625
820,100.0,136.0,4.0,2610.25
821,100.0,136.0,5.0,2585.8359375
822,100,137,0,3200
823,100,137,1,2800
824,100,137,2,1900
825,100.0,137.0,3.0,1687.625
826,100.0,137.0,4.0,2603.25
827,100.0,137.0,5.0,2578.8359375
828,100,138,0,3200
829,100,138,1,2800
830,100,138,2,1500
831,100.0,138.0,3.0,1647.5
832,100.0,138.0,4.0,2551.0
833,100.0,138.0,5.0,2531.46875
834,100,139,0,3200
835,100,139,1,2800
836,100,139,2,1900
837,100.0,139.0,3.0,1678.75
838,100.0,139.0,4.0,2597.5
839,100.0,139.0,5.0,2568.203125
840,100,140,0,3200
841,100,140,1,2800
842,100,140,2,1900
843,100.0,140.0,3.0,1652.75
844,100.0,140.0,4.0,2571.5
845,100.0,140.0,5.0,2542.203125
846,100,141,0,3200
847,100,141,1,2800
848,100,141,2,2000
849,100.0,141.0,3.0,1722.875
850,100.0,141.0,4.0,2644.75
851,100.0,141.0,5.0,2610.5703125
852,100,142,0,3200
853,100,142,1,2800
854,100,142,2,1500
855,100.0,142.0,3.0,1645.375
856,100.0,142.0,4.0,2545.75
857,100.0,142.0,5.0,2531.1015625
858,100,143,0,3200
859,100,143,1,2800
860,100,143,2,1800
861,100.0,143.0,3.0,1670.75
862,100.0,143.0,4.0,2580.5
863,100.0,143.0,5.0,2551.203125
864,100,144,0,3200
865,100,144,1,2800
866,100,144,2,1900
867,100.0,144.0,3.0,1671.75
868,100.0,144.0,4.0,2590.5
869,100.0,144.0,5.0,2561.203125
870,100,145,0,3200
871,100,145,1,2800
872,100,145,2,1800
873,100.0,145.0,3.0,1738.75
874,100.0,145.0,4.0,2657.5
875,100.0,145.0,5.0,2628.203125
876,100,146,0,3200
877,100,146,1,2800
878,100,146,2,1900
879,100.0,146.0,3.0,1665.75
880,100.0,146.0,4.0,2584.5
881,100.0,146.0,5.0,2555.203125
882,100,147,0,3200
883,100,147,1,2800
884,100,147,2,1600
885,100.0,147.0,3.0,1659.5
886,100.0,147.0,4.0,2572.0
887,100.0,147.0,5.0,2552.46875
888,100,148,0,3200
889,100,148,1,2800
890,100,148,2,1500
891,100.0,148.0,3.0,1622.375
892,100.0,148.0,4.0,2531.75
893,100.0,148.0,5.0,2517.1015625
894,100,149,0,3200
895,100,149,1,2800
896,100,149,2,1500
897,100.0,149.0,3.0,1657.375
898,100.0,149.0,4.0,2566.75
899,100.0,149.0,5.0,2552.1015625
900,100,150,0,3200
901,100,150,1,2800
902,100,150,2,2000
903,100.0,150.0,3.0,1673.75
904,100.0,150.0,4.0,2592.5
905,100.0,150.0,5.0,2563.203125
906,100,151,0,3200
907,100,151,1,2800
908,100,151,2,1700
909,100.0,151.0,3.0,1670.5
910,100.0,151.0,4.0,2583.0
911,100.0,151.0,5.0,2563.46875
